col, description
ev_id,"Globally unique identifier assigned to each event record that uniquely identifies it in the master dataset.  NOTE: While these will often be sequential with date, this is NOT always the case and this field should NOT be used to sort events by date: the date fields should be used for this.  NOTE: There is a large gap in the sequence between February 18, 2015 and February 19, 2015 with the switchover to GDELT 2.0 – these are not missing events, the ID sequence was simply reset at a higher number so that it is possible to easily distinguish events created after the switchover to GDELT 2.0 from those created using the older GDELT 1.0 system."
ev_date,Date the event took place in YYYYMMDD format.
a1_name,"The actual name of the Actor1.  In the case of a political leader or organization, this will be the leader’s formal name (GEORGE W BUSH, UNITED NATIONS), for a geographic match it will be either the country or capital/major city name (UNITED STATES / PARIS), and for ethnic, religious, and type matches it will reflect the root match class (KURD, CATHOLIC, POLICE OFFICER, etc).  May be blank if the system was unable to identify an Actor1."
a1_country_code,The 3-character CAMEO code for the country affiliation of Actor1.  May be blank if the system was unable to identify an Actor1 or determine its country affiliation (such as “UNIDENTIFIED GUNMEN”).
a1_country_name, The country name after cameo code is matched
a1_type1_code,"The 3-character CAMEO code of the CAMEO “type” or “role” of Actor1, if specified.  This can be a specific role such as Police Forces, Government, Military, Political Opposition, Rebels, etc, a broad role class such as Education, Elites, Media, Refugees, or organizational classes like Non-Governmental Movement.  Special codes such as Moderate and Radical may refer to the operational strategy of a group."
a1_type1_desc,"Type description 1 after matched using cameo code"
a1_type2_code,"If multiple type/role codes are specified for Actor1, this returns the second code."
a1_type2_desc,"Type description 2 after matched using cameo code"
a1_geo_id,"This field specifies the geographic resolution of the match type and holds one of the following values:  1=COUNTRY (match was at the country level), 2=USSTATE (match was to a US state), 3=USCITY (match was to a US city or landmark), 4=WORLDCITY (match was to a city or landmark outside the US), 5=WORLDSTATE (match was to an Administrative Division 1 outside the US – roughly equivalent to a US state).  This can be used to filter events by geographic specificity, for example, extracting only those events with a landmark-level geographic resolution for mapping.  Note that matches with codes 1 (COUNTRY), 2 (USSTATE), and 5 (WORLDSTATE) will still provide a latitude/longitude pair, which will be the centroid of that country or state, but the FeatureID field below will be blank."
a1_geo_type,"a1_geo_id matched"
a1_geo_country,"The country a1 was located when event happened"
a1_geo_state,"The state a1 was located when event happened"
a1_geo_location,"The location a1 was located when event happened"
a1_geo_lat,This is the centroid latitude of the landmark for mapping.
a1_geo_lon,This is the centroid longitude of the landmark for mapping.
a2_name,"The actual name of the Actor2.  In the case of a political leader or organization, this will be the leader’s formal name (GEORGE W BUSH, UNITED NATIONS), for a geographic match it will be either the country or capital/major city name (UNITED STATES / PARIS), and for ethnic, religious, and type matches it will reflect the root match class (KURD, CATHOLIC, POLICE OFFICER, etc).  May be blank if the system was unable to identify an Actor2."
a2_country_code,The 3-character CAMEO code for the country affiliation of Actor2.  May be blank if the system was unable to identify an Actor1 or determine its country affiliation (such as “UNIDENTIFIED GUNMEN”).
a2_country_name, The country name after cameo code is matched
a2_type1_code,"The 3-character CAMEO code of the CAMEO “type” or “role” of Actor1, if specified.  This can be a specific role such as Police Forces, Government, Military, Political Opposition, Rebels, etc, a broad role class such as Education, Elites, Media, Refugees, or organizational classes like Non-Governmental Movement.  Special codes such as Moderate and Radical may refer to the operational strategy of a group."
a2_type1_desc,"Type description 1 after matched using cameo code"
a2_type2_code,"If multiple type/role codes are specified for Actor1, this returns the second code."
a2_type2_desc,"Type description 2 after matched using cameo code"
a2_geo_id,"This field specifies the geographic resolution of the match type and holds one of the following values:  1=COUNTRY (match was at the country level), 2=USSTATE (match was to a US state), 3=USCITY (match was to a US city or landmark), 4=WORLDCITY (match was to a city or landmark outside the US), 5=WORLDSTATE (match was to an Administrative Division 1 outside the US – roughly equivalent to a US state).  This can be used to filter events by geographic specificity, for example, extracting only those events with a landmark-level geographic resolution for mapping.  Note that matches with codes 1 (COUNTRY), 2 (USSTATE), and 5 (WORLDSTATE) will still provide a latitude/longitude pair, which will be the centroid of that country or state, but the FeatureID field below will be blank."
a2_geo_type,"a2_geo_id matched"
a2_geo_country,"The country a2 was located when event happened"
a2_geo_state,"The state a2 was located when event happened"
a2_geo_location,"The location a2 was located when event happened"
a2_geo_lat,This is the centroid latitude of the landmark for mapping.
a2_geo_lon,This is the centroid longitude of the landmark for mapping.
action_geo_country,"The country where the event took place"
action_geo_state,"The state where the event took place"
action_geo_location,"The location where the event took place"
action_geo_id,"This field specifies the geographic resolution of the match type and holds one of the following values:  1=COUNTRY (match was at the country level), 2=USSTATE (match was to a US state), 3=USCITY (match was to a US city or landmark), 4=WORLDCITY (match was to a city or landmark outside the US), 5=WORLDSTATE (match was to an Administrative Division 1 outside the US – roughly equivalent to a US state).  This can be used to filter events by geographic specificity, for example, extracting only those events with a landmark-level geographic resolution for mapping.  Note that matches with codes 1 (COUNTRY), 2 (USSTATE), and 5 (WORLDSTATE) will still provide a latitude/longitude pair, which will be the centroid of that country or state, but the FeatureID field below will be blank."
action_geo_type,"action_geo_id matched"
act_geo_lat,This is the centroid latitude of the landmark for mapping.
act_geo_lon,This is the centroid longitude of the landmark for mapping.
is_root_event,"The system codes every event found in an entire document, using an array of techniques to deference and link information together.  A number of previous projects such as the ICEWS initiative have found that events occurring in the lead paragraph of a document tend to be the most “important.”  This flag can therefore be used as a proxy for the rough importance of an event to create subsets of the event stream.  NOTE: this field refers only to the first news report to mention an event and is not updated if the event is found in a different context in other news reports.  It is included for legacy purposes – for more precise information on the positioning of an event, see the Mentions table."
